ID_IRVE;ID_BORNE;Type_Prise;Imax_Prise
15145260;17107;Prise_Type3;32A
15145260;17108;Prise_Type3;32A
15145260;17109;Prise_Type3;32A
15145260;17110;Prise_Type3;32A
16101777;96422;Prise_E/F;16A
16101777;96422;Prise_E/F;16A
16101777;96422;Prise_Type2;32A
16101777;96422;Prise_Type2;32A
16101777;96422;Prise_Type3;32A
16101777;96422;Prise_Type3;32A
16190212;87934;Cable_CHAdeMO;100A
16190212;87934;Cable_Combo;100A
16190212;87934;Prise_Type2;32A
16190229;87916;Cable_CHAdeMO;100A
16190229;87916;Cable_Combo;100A
16190229;87916;Prise_Type2;32A
16195843;87919;Cable_CHAdeMO;100A
16195843;87919;Cable_Combo;100A
16195843;87919;Prise_Type2;32A
16225032;88774;Prise_E/F;16A
16225032;88774;Prise_E/F;16A
16225032;88774;Prise_Type2;32A
16225032;88774;Prise_Type2;32A
16225032;88774;Prise_Type3;32A
16225032;88774;Prise_Type3;32A
16248080;89128;Cable_CHAdeMO;100A
16248080;89128;Cable_CHAdeMO;100A
16248080;89128;Cable_Combo;100A
16248080;89128;Cable_Combo;100A
16248080;89128;Prise_E/F;16A
16248080;89128;Prise_E/F;16A
16248080;89128;Prise_Type2;32A
16248080;89128;Prise_Type2;32A
16250627;88789;Prise_E/F;16A
16250627;88789;Prise_E/F;16A
16250627;88789;Prise_Type2;32A
16250627;88789;Prise_Type2;32A
16250627;88789;Prise_Type3;32A
16250627;88789;Prise_Type3;32A
16251440;89710;Cable_CHAdeMO;100A
16251440;89710;Cable_Combo;100A
16251440;89710;Prise_E/F;16A
16251440;89710;Prise_Type2;32A
16275553;90283;Prise_E/F;16A
16275553;90283;Prise_E/F;16A
16275553;90283;Prise_Type2;32A
16275553;90283;Prise_Type2;32A
16284482;112937;Cable_Tesla_T2_like;325A
16284482;112940;Cable_Tesla_T2_like;325A
16284482;112943;Cable_Tesla_T2_like;325A
16284482;112946;Cable_Tesla_T2_like;325A
16284482;112949;Cable_Tesla_T2_like;325A
16284482;112952;Cable_Tesla_T2_like;325A
16284482;112955;Cable_Tesla_T2_like;325A
16284482;112958;Cable_Tesla_T2_like;325A
16284482;112961;Cable_Tesla_T2_like;325A
16284482;112964;Cable_Tesla_T2_like;325A
16303380;112811;Prise_Type2;32A
16303380;112811;Prise_Type3;32A
16330012;88807;Prise_E/F;16A
16330012;88807;Prise_E/F;16A
16330012;88807;Prise_Type2;32A
16330012;88807;Prise_Type2;32A
16330012;88807;Prise_Type3;32A
16330012;88807;Prise_Type3;32A
16333102;88792;Prise_E/F;16A
16333102;88792;Prise_E/F;16A
16333102;88792;Prise_Type2;32A
16333102;88792;Prise_Type2;32A
16333102;88792;Prise_Type3;32A
16333102;88792;Prise_Type3;32A
16363544;88804;Prise_E/F;16A
16363544;88804;Prise_E/F;16A
16363544;88804;Prise_Type2;32A
16363544;88804;Prise_Type2;32A
16363544;88804;Prise_Type3;32A
16363544;88804;Prise_Type3;32A
16363546;88810;Prise_E/F;16A
16363546;88810;Prise_E/F;16A
16363546;88810;Prise_Type2;32A
16363546;88810;Prise_Type2;32A
16363546;88810;Prise_Type3;32A
16363546;88810;Prise_Type3;32A
16403972;108020;Prise_E/F;16A
16403972;108020;Prise_E/F;16A
16403972;108020;Prise_Type2;32A
16403972;108020;Prise_Type2;32A
16404380;89059;Prise_E/F;16A
16404380;89059;Prise_E/F;16A
16404380;89059;Prise_Type2;32A
16404380;89059;Prise_Type2;32A
16409170;88834;Prise_E/F;16A
16409170;88834;Prise_E/F;16A
16409170;88834;Prise_Type2;32A
16409170;88834;Prise_Type2;32A
16409170;88834;Prise_Type3;32A
16409170;88834;Prise_Type3;32A
16416243;73037;Cable_CHAdeMO;100A
16416243;73037;Cable_CHAdeMO;100A
16416243;73037;Cable_Combo;100A
16416243;73037;Cable_Combo;100A
16416243;73037;Cable_Type2;63A
16416243;73037;Cable_Type2;63A
16416243;111758;Prise_E/F;16A
16416243;111758;Prise_E/F;16A
16416243;111758;Prise_Type2;32A
16416243;111758;Prise_Type2;32A
16417127;108005;Prise_E/F;16A
16417127;108005;Prise_E/F;16A
16417127;108005;Prise_Type2;32A
16417127;108005;Prise_Type2;32A
16435103;88813;Prise_E/F;16A
16435103;88813;Prise_E/F;16A
16435103;88813;Prise_Type2;32A
16435103;88813;Prise_Type2;32A
16435103;88813;Prise_Type3;32A
16435103;88813;Prise_Type3;32A
16447950;88966;Cable_CHAdeMO;100A
16447950;88966;Cable_Combo;100A
16447950;88966;Prise_E/F;16A
16447950;88966;Prise_Type2;32A
16455672;69352;Cable_Tesla_T2_like;325A
16455672;69355;Cable_Tesla_T2_like;325A
16455672;69358;Cable_Tesla_T2_like;325A
16455672;69361;Cable_Tesla_T2_like;325A
16455672;69364;Cable_Tesla_T2_like;325A
16455672;69367;Cable_Tesla_T2_like;325A
16455672;69370;Cable_Tesla_T2_like;325A
16455672;69373;Cable_Tesla_T2_like;325A
16502023;59011;Prise_E/F;16A
16502023;59011;Prise_E/F;16A
16502023;59011;Prise_Type2;32A
16502023;59011;Prise_Type3;32A
16523626;71428;Prise_E/F;16A
16523626;71431;Prise_E/F;16A
16523626;71428;Prise_Type2;32A
16523626;71431;Prise_Type2;32A
16535540;37390;Cable_Tesla_T2_like;325A
